Tijdstempel,What is your age?,What video streaming services do you currently use?,"How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Content selection]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Price]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Video quality]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Layout and easy of use]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Availability on multiple devices]","Have you ever canceled a video streaming service subscription? If so, why?",Have you ever subscribed to a video streaming service solely to watch a specific show or movie?,How satisfied are you with the overall value of the video streaming services you currently use?,"Are you interested in subscribing to a video streaming service that offers a pay-per-view pricing for individual movies and TV shows, rather than a monthly subscription fee?",What other features or options would you like to see added to video streaming services? (Please specify)
2023/03/20 3:51:26 p.m. EET,18-24,Netflix;YouTube;Stremio,5,4,4,3,1,Content selection was not what I expected,"No, I haven't",Very satisfied,I'm not sure,
2023/03/20 5:43:37 p.m. EET,Under 18 years old,Netflix;YouTube;Stremio ,5,4,4,3,1,,"No, I haven't",Very satisfied,I'm not sure,
2023/03/27 11:59:48 a.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,5,5,4,5,3,Content selection was not what I expected;Price was too high,"Yes, I have",Somewhat satisfied,Yes,
2023/03/27 12:02:46 p.m. EET,18-24,Netflix;YouTube,4,4,5,3,2,Content selection was not what I expected,"No, I haven't",Very satisfied,I'm not sure,"on demand streaming, where you can buy a serie despite not beeing on the platform"
2023/03/27 12:35:18 p.m. EET,18-24,Jellyfin,4,4,5,3,3,Price was too high,"No, I haven't",Very satisfied,No,"Pay-per-view will definitely fail and is something of the old days, a great example of this is Pathe Thuis. People will only like pay-per-view if they get something more in return except for only their couch and TV, take cinemas for example. Another example is Spotify vs iTunes store. Pay-per-view has been shown to fail and will do so, unless you're able to add something so significant that will enhance their experience greatly, but since you're limited by hardware I don't see a way to do so."
2023/03/27 12:38:49 p.m. EET,25-34,YouTube;,4,5,3,3,5,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,No,
2023/03/27 12:43:16 p.m. EET,18-24,YouTube;Movie 2k,5,4,4,4,3,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,Yes,"Ability to save a movie and watch it offline, ability to watch live events like UFC or music concerts"
2023/03/27 12:48:55 p.m. EET,18-24,Netflix;Amazon Prime Video;YouTube;Usenet,5,2,4,1,3,Content selection was not what I expected;Price was too high;Technical issues or poor video quality;User interface was difficult to navigate;Too much advertising,"No, I haven't",Somewhat satisfied,No,Include more high res 4K (preferably also with Dolby ATMOS) content. Lots of content on platform is 1080p while it is already available in higher quality.
2023/03/27 12:53:28 p.m. EET,18-24,Netflix;YouTube,5,5,5,4,5,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,Yes,
2023/03/27 12:55:38 p.m. EET,18-24,Netflix;YouTube;Stremio,5,3,4,2,3,,"No, I haven't",Somewhat satisfied,No,
2023/03/27 12:58:35 p.m. EET,18-24,Netflix;Popcorn Time,5,4,4,4,2,,"No, I haven't",Very satisfied,Yes,none
2023/03/27 12:58:56 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,5,5,3,1,1,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,No,"Een show van de vage verhalen die Tim verteld in discord calls/ a streaming service that has everything, impossible I know but I would like that. "
2023/03/27 1:04:07 p.m. EET,18-24,Netflix;YouTube;Crunchyroll,5,5,4,5,5,Price was too high;Didn't use the service anymore,"Yes, I have",Somewhat satisfied,No,Custom sliders for filtering content based of a few criteria (see steam lab recomendation)
2023/03/27 1:12:30 p.m. EET,18-24,Netflix;Amazon Prime Video;YouTube;Crunchyroll;Stremio,5,4,5,3,4,,"No, I haven't",Very satisfied,No,
2023/03/27 1:14:45 p.m. EET,18-24,Netflix;Disney+;YouTube,5,5,5,4,2,,"Yes, I have",Very satisfied,No,"It would be really nice if there'd be a feature such as streaming a movie/series alongside someone else so that you can watch ""together"" even when apart. It could be accompanied by some sort of a chat window or such."
2023/03/27 1:14:53 p.m. EET,18-24,YouTube;Twitch;F1 TV,3,4,5,1,2,Didn't use the service anymore,"Yes, I have",Somewhat satisfied,Yes,Not particularly
2023/03/27 1:14:54 p.m. EET,18-24,Netflix;YouTube,5,2,3,4,1,Content selection was not what I expected,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 1:16:21 p.m. EET,18-24,Netflix;YouTube,4,4,3,3,4,,"Yes, I have",Very satisfied,No,Non extra payments required for full hd/2k/4k resolution
2023/03/27 1:24:16 p.m. EET,18-24,Netflix;YouTube,5,5,2,3,5,Content selection was not what I expected;Price was too high;Technical issues or poor video quality,"Yes, I have",Somewhat satisfied,No,
2023/03/27 1:24:19 p.m. EET,Under 18 years old,Netflix,4,2,5,5,5,,"No, I haven't",Somewhat satisfied,No,
2023/03/27 1:25:54 p.m. EET,45-54,Netflix,4,4,4,4,4,Content selection was not what I expected;Price was too high;Too much advertising,"Yes, I have",Somewhat satisfied,No,
2023/03/27 1:26:04 p.m. EET,25-34,Netflix;Disney+;Videoland;NLZIET,4,4,3,3,5,,"Yes, I have",Somewhat dissatisfied,No,
2023/03/27 1:31:13 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;HBO Max,5,4,5,5,4,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,I'm not sure,
2023/03/27 1:31:21 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+,4,3,4,4,2,Price was too high,"No, I haven't",Very satisfied,No,Live sports
2023/03/27 1:32:32 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+;HBO Max,2,4,4,3,2,Price was too high,"No, I haven't",Somewhat satisfied,Yes,
2023/03/27 1:32:59 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+;HBO Max;NPO Plus;Viaplay;NFL Gamepass;Ziggo Sport Totaal,5,3,5,1,5,Content selection was not what I expected;Price was too high,"Yes, I have",Very satisfied,I'm not sure,"The customer usage should be, in every case, perfectly fitting to the needs of the customer. This means that when you open the streaming service it would always suggest the programs most fitting to your interest. This is not always the case..."
2023/03/27 1:33:35 p.m. EET,18-24,Netflix;YouTube;HBO Max,4,4,4,3,3,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,I'm not sure,
2023/03/27 1:38:52 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,4,3,5,1,1,Content selection was not what I expected,"Yes, I have",Very satisfied,No,less copyright restriction per country so you don't have to use a VPN
2023/03/27 1:43:18 p.m. EET,18-24,Netflix;Disney+;YouTube;HBO Max,4,4,4,1,2,Content selection was not what I expected;Price was too high;Technical issues or poor video quality;User interface was difficult to navigate,"No, I haven't",Somewhat satisfied,No,Dolby atmos en hoge bitrate
2023/03/27 1:43:23 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max;Stremio,4,2,5,3,5,Content selection was not what I expected;Technical issues or poor video quality;User interface was difficult to navigate,"No, I haven't",Somewhat dissatisfied,No,"- Crowd-sourced subtitles: A big part of my family is not familiar with the English language, and finding a movie on ""official"" sources requires for the platform to have purchased the subtitle rights in another language, which means that a vast selection of movies/shows on all these streaming services lose clients like my grandpa and grandma. Not to mention, that depending on the country you (your IP) currently are, the subtitle selection changes, just like how available movies change from country to country. So when I use my Dutch accounts to stream in my home country, I am not able to use the same subtitles that are available in the Netherlands. This prohibits me from being able to have a comfortable experience for all viewers, since we need to find (and usually do not find) a movie that has subtitles in my language, is interesting, and is on any of the above services. And that does not easily happen.

- Equal streaming from device to device: One of the biggest problems for me is the fact that most services provide a lackluster experience when you are not using them on either a smartphone or a smart TV. If you are not using either the Android or Apple applications, it means you are using a web browser. When you view content from (almost, there are some exceptions) all video streaming platforms, on a browser, they will limit your use to usually 1080p video with no Dolby Atmos, or HDR support, which is absolutely unacceptable. As a student, I use my PC as a TV as well, since my monitor is big enough and my room is small enough. Watching modern titles on 1080p for a big monetary premium such as the one on Netflix or Disney+ is absolutely unacceptable. And not only that, the sound experience is terrible, even if you do own a Dolby Atmos-supported audio playback device, since you are only allowed to have stereo and not surround sound. And also, let's not even mention the problem with HDR, which in movies of the 2020s makes all the difference. 

- High Compression Rate: Because of the client-server model, and streaming platforms being unable to serve the exponentially higher 4K 60FPS bandwidth, all streamed movies must go through an extensive compression algorithm. While compression algorithms are still one of the most highly-researched topics in Computer Science, compression still takes away from the experience of the movie, especially during dark-lit scenes. Optimally, the solution created will either have a low compression rate, or NO compression rate, so that users are allowed to receive what they paid for in its entirety, and not notice compression at every step of the way."
2023/03/27 1:44:13 p.m. EET,35-44,Netflix;Disney+;YouTube,4,5,3,4,4,Content selection was not what I expected,"Yes, I have",Very satisfied,Yes,
2023/03/27 1:44:56 p.m. EET,18-24,YouTube,4,4,3,4,4,,"No, I haven't",Very satisfied,Yes,
2023/03/27 1:45:55 p.m. EET,18-24,Netflix;YouTube,4,3,2,1,1,,"No, I haven't",Very satisfied,No,Statistics about how much time you wasted
2023/03/27 1:48:33 p.m. EET,45-54,Netflix,5,3,5,5,5,,"No, I haven't",Very satisfied,Yes,
2023/03/27 1:56:24 p.m. EET,18-24,Netflix;Disney+;YouTube;Twitch,5,4,4,5,4,Content selection was not what I expected;Price was too high,"No, I haven't",Very satisfied,No,"I think most of the popular streaming platforms nowadays have a great user friendly system which works pretty well. However I would like to see more statistics. For example, I would love to be able to see how many different shows I've watched, how many hours I've watched, my most watched genre, and so forth.. Something similar as Spotify has. A yearly recap or ""Top artists this month""."
2023/03/27 1:57:21 p.m. EET,35-44,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,4,2,4,3,3,Content selection was not what I expected;Technical issues or poor video quality,"Yes, I have",Somewhat satisfied,No,
2023/03/27 2:08:29 p.m. EET,18-24,YouTube,4,2,4,3,2,,"Yes, I have",Somewhat satisfied,Yes,One central service for most films/series
2023/03/27 2:15:51 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube,4,3,4,1,5,,"Yes, I have",Somewhat satisfied,No,
2023/03/27 2:17:39 p.m. EET,45-54,Netflix;HBO Max,2,3,2,2,2,,"Yes, I have",Very satisfied,I'm not sure,
2023/03/27 2:17:46 p.m. EET,35-44,Netflix;Amazon Prime Video;HBO Max,5,4,1,2,3,Didn't use the service anymore,"Yes, I have",Very satisfied,Yes,Direct inzichtelijk wanneer nieuwe afleveringen beschikbaar komen van series die ik volg aangevuld met series die ik waarschijnlijk interessant vind. Dit met als doel dat ik als ik op dinsdag denk 'wat zal ik dit weekend eens voor series gaan kijken' al een beetje weet wat ik allemaal kan gaan kijken. 
2023/03/27 2:21:38 p.m. EET,55-64,Netflix;YouTube,4,4,3,2,1,,"Yes, I have",Very satisfied,No,No other features or options.
2023/03/27 2:22:11 p.m. EET,45-54,Videoland,5,4,4,4,4,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,I'm not sure,
2023/03/27 2:23:01 p.m. EET,18-24,Netflix;Disney+;YouTube,4,4,3,3,2,Didn't use the service anymore,"No, I haven't",Very satisfied,I'm not sure,
2023/03/27 2:24:29 p.m. EET,35-44,Netflix;YouTube,4,3,3,2,3,Price was too high,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 2:26:10 p.m. EET,18-24,Netflix,5,5,2,4,2,,"No, I haven't",Somewhat dissatisfied,No,
2023/03/27 2:29:53 p.m. EET,25-34,Netflix;Amazon Prime Video;YouTube,5,3,5,3,3,Content selection was not what I expected;Price was too high,"Yes, I have",Somewhat satisfied,Yes,easy to access reviews from good website like imdb/rotten tomatoes by just right clicking it or something
2023/03/27 2:51:46 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,5,4,5,4,3,Content selection was not what I expected;Price was too high,"Yes, I have",Somewhat satisfied,No,
2023/03/27 2:52:22 p.m. EET,55-64,Amazon Prime Video,4,4,4,4,4,Didn't use the service anymore,"No, I haven't",Somewhat satisfied,No,
2023/03/27 2:52:42 p.m. EET,45-54,Netflix;Videoland;Viaplay,3,3,3,3,3,Content selection was not what I expected;Technical issues or poor video quality,"No, I haven't",Somewhat satisfied,Yes,
2023/03/27 2:55:30 p.m. EET,18-24,YouTube,5,5,3,3,3,,"No, I haven't",Somewhat satisfied,Yes,
2023/03/27 2:55:34 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max;Videoland;Apple TV+,5,3,3,3,4,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,No,
2023/03/27 2:56:22 p.m. EET,18-24,YouTube,5,5,4,4,2,,"No, I haven't",Somewhat satisfied,Yes,"Option to make different 'recommended' pages. For example, to separate your own recommended video's from those of your kid, without having to switch accounts."
2023/03/27 2:58:52 p.m. EET,45-54,Netflix;Disney+;YouTube,4,3,3,3,3,Content selection was not what I expected,"Yes, I have",Very satisfied,I'm not sure,
2023/03/27 3:10:40 p.m. EET,18-24,Netflix;YouTube,5,4,5,5,5,,"No, I haven't",Very satisfied,I'm not sure,
2023/03/27 3:16:14 p.m. EET,18-24,Netflix;Disney+;YouTube,5,3,4,2,1,Content selection was not what I expected,"Yes, I have",Somewhat dissatisfied,I'm not sure,Watch Party via lobbies where my friends/family can view the same show all at once.
2023/03/27 3:20:24 p.m. EET,45-54,Netflix;YouTube,5,5,5,5,5,Too much advertising,"No, I haven't",Somewhat dissatisfied,No,
2023/03/27 3:20:50 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+,5,5,2,2,3,Price was too high,"Yes, I have",Somewhat satisfied,No,Watch party functionality where I can watch movies together with other people that do not have a subscription.
2023/03/27 3:32:38 p.m. EET,18-24,YouTube;SVT Play,4,5,2,2,2,Price was too high,"Yes, I have",Somewhat satisfied,No,
2023/03/27 3:33:57 p.m. EET,18-24,Netflix;YouTube,5,4,4,3,3,,"No, I haven't",Somewhat satisfied,I'm not sure,"Well if we're taking the question above as a template, I'd be curious to know how long after paying would I be able to watch the tv show/movie for. Would it be a one view and then if I want to see it again I'd have to pay again? In that case that'd be a no for me. Would it be more of a youtube movies situation, where I can own the movie/tv show or rent it? Then that'd be neat I think."
2023/03/27 3:39:58 p.m. EET,18-24,Netflix;Amazon Prime Video;YouTube,5,3,5,3,2,Content selection was not what I expected,"Yes, I have",Very satisfied,Yes,
2023/03/27 3:42:19 p.m. EET,55-64,ESPN,3,2,3,2,1,,"No, I haven't",Somewhat satisfied,Yes,Een grotere bibliotheek
2023/03/27 3:45:39 p.m. EET,25-34,Netflix,4,4,4,1,1,Content selection was not what I expected;Price was too high,"Yes, I have",Somewhat satisfied,Yes,
2023/03/27 3:45:43 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;Apple TV+;9Anime,5,4,3,4,4,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,No,
2023/03/27 3:51:07 p.m. EET,18-24,Disney+,4,5,2,4,5,Price was too high,"No, I haven't",Very satisfied,I'm not sure,
2023/03/27 4:00:32 p.m. EET,25-34,YouTube,4,5,5,2,1,Content selection was not what I expected;Price was too high,"Yes, I have",Very dissatisfied,No,
2023/03/27 4:00:54 p.m. EET,18-24,Netflix;Amazon Prime Video;YouTube;HBO Max,5,4,2,2,1,Content selection was not what I expected;Too much advertising,"Yes, I have",Somewhat dissatisfied,No,I would want less streaming services instead of more
2023/03/27 4:17:09 p.m. EET,18-24,Netflix;YouTube;Pirating,5,4,2,3,1,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,No,New flashy features don't matter. Just have an alright collection of shows/movies for an alright price. Don't reinvent the wheel just make sure it's spinning.
2023/03/27 4:18:23 p.m. EET,45-54,Netflix;YouTube,5,3,3,4,3,Content selection was not what I expected;Price was too high,"Yes, I have",Very satisfied,Yes,
2023/03/27 4:38:17 p.m. EET,45-54,Netflix;YouTube,1,3,1,3,1,,"No, I haven't",Somewhat satisfied,Yes,
2023/03/27 5:01:28 p.m. EET,35-44,Netflix;Amazon Prime Video;Disney+;HBO Max,5,4,2,1,1,,"Yes, I have",Very satisfied,I'm not sure,
2023/03/27 5:33:23 p.m. EET,18-24,Netflix;Disney+;YouTube;Videoland;NPO Plus,5,5,2,1,3,,"No, I haven't",Very satisfied,No,"Je hebt veel content verscholen achter verschillende landen (US exclusives). Het zou fijn zijn als alle content voor elk land beschikbaar zou zijn, of dat er een optie in de app is om te switchen, ipv via een VPN."
2023/03/27 5:35:51 p.m. EET,45-54,Netflix;Disney+;Videoland,5,4,4,4,3,,"Yes, I have",Somewhat satisfied,Yes,
2023/03/27 5:54:25 p.m. EET,45-54,Netflix;Disney+;YouTube;Videoland ,1,1,1,1,1,Content selection was not what I expected;Price was too high,"No, I haven't",Very satisfied,I'm not sure,
2023/03/27 6:17:17 p.m. EET,45-54,Netflix,3,3,5,3,3,Technical issues or poor video quality,"Yes, I have",Very satisfied,Yes,
2023/03/27 6:17:30 p.m. EET,55-64,YouTube,2,3,2,3,2,,"No, I haven't",Somewhat satisfied,No,
2023/03/27 6:19:10 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,5,3,5,3,5,Content selection was not what I expected;Price was too high;Too much advertising,"Yes, I have",Somewhat satisfied,No,That I’m able to download movies or series to watch when i’m offline
2023/03/27 6:25:09 p.m. EET,18-24,Netflix;YouTube,4,5,5,4,5,,"No, I haven't",Very satisfied,I'm not sure,
2023/03/27 6:26:04 p.m. EET,18-24,Netflix;YouTube;HBO Max;Videoland ,4,3,2,3,4,Content selection was not what I expected;Price was too high,"Yes, I have",Somewhat satisfied,I'm not sure,link to friends account for suggestions 
2023/03/27 6:26:53 p.m. EET,18-24,Netflix;YouTube,4,4,5,3,3,Too much advertising,"No, I haven't",Somewhat satisfied,Yes,
2023/03/27 6:28:38 p.m. EET,35-44,Netflix,5,4,4,3,4,,"No, I haven't",Very satisfied,No,"Content across platforms.
(Never going to happen.)"
2023/03/27 6:30:28 p.m. EET,45-54,Netflix;Disney+,4,3,4,4,2,Technical issues or poor video quality,"No, I haven't",Somewhat satisfied,I'm not sure,Better selection methods 
2023/03/27 6:41:50 p.m. EET,45-54,Netflix,5,5,5,5,5,,"No, I haven't",Very dissatisfied,No,
2023/03/27 6:43:25 p.m. EET,18-24,YouTube;Stremio,5,2,4,3,1,,"No, I haven't",Somewhat satisfied,Yes,
2023/03/27 6:44:08 p.m. EET,25-34,Amazon Prime Video;Hulu;HBO Max,5,4,4,4,4,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 6:45:26 p.m. EET,35-44,YouTube;Plex,2,3,3,3,3,Price was too high,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 6:47:08 p.m. EET,65 years old or above,Netflix,2,4,4,2,1,,"No, I haven't",Very satisfied,I'm not sure,
