Tijdstempel,What is your age?,What video streaming services do you currently use?,"How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Content selection]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Price]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Video quality]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Layout and easy of use]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Availability on multiple devices]","Have you ever canceled a video streaming service subscription? If so, why?",Have you ever subscribed to a video streaming service solely to watch a specific show or movie?,How satisfied are you with the overall value of the video streaming services you currently use?,"Are you interested in subscribing to a video streaming service that offers a pay-per-view pricing for individual movies and TV shows, rather than a monthly subscription fee?",What other features or options would you like to see added to video streaming services? (Please specify)
2023/03/27 6:56:17 p.m. EET,35-44,Netflix;YouTube;Videoland ,4,4,4,4,4,,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 6:56:41 p.m. EET,65 years old or above,YouTube,5,4,4,4,2,,"No, I haven't",Somewhat satisfied,No,Nothing
2023/03/27 6:56:55 p.m. EET,55-64,Netflix,3,3,3,3,2,,"No, I haven't",Somewhat satisfied,No,
2023/03/27 6:57:54 p.m. EET,55-64,Netflix;YouTube;NPO Start,5,5,3,4,2,Content selection was not what I expected;Technical issues or poor video quality;Too much advertising,"Yes, I have",Very satisfied,No,
2023/03/27 6:58:18 p.m. EET,65 years old or above,Netflix;YouTube,4,3,2,3,3,Price was too high,"No, I haven't",Somewhat satisfied,No,Streaming services you can share with friends/family against a reasonable price
2023/03/27 7:04:15 p.m. EET,18-24,Netflix;YouTube,2,3,3,2,3,Price was too high;Too much advertising,"Yes, I have",Somewhat satisfied,No,
2023/03/27 7:06:54 p.m. EET,35-44,Netflix,5,4,3,3,3,,"No, I haven't",Somewhat dissatisfied,Yes,
2023/03/27 7:07:27 p.m. EET,45-54,Netflix;YouTube,4,5,3,1,2,Technical issues or poor video quality;Too much advertising,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 7:07:32 p.m. EET,35-44,,5,4,3,4,3,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,Yes,-
2023/03/27 7:08:09 p.m. EET,55-64,Netflix;Amazon Prime Video;Disney+;YouTube;NPO Plus;Videoland ,5,4,2,3,1,,"No, I haven't",Somewhat satisfied,No,Selection easy 
2023/03/27 7:11:36 p.m. EET,45-54,Netflix;NPO Plus,3,2,4,3,5,Content selection was not what I expected,"Yes, I have",Very satisfied,No,Niks
2023/03/27 7:12:59 p.m. EET,55-64,Netflix;HBO Max,4,3,3,4,3,,"Yes, I have",Very satisfied,I'm not sure,
2023/03/27 7:13:22 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,5,3,5,5,4,Content selection was not what I expected,"No, I haven't",Somewhat satisfied,No,Every service should have the interface Netflix has. Netflix has the best interface and user ability 
2023/03/27 7:15:38 p.m. EET,55-64,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,5,4,4,3,4,,"No, I haven't",Very satisfied,I'm not sure,None
2023/03/27 7:17:57 p.m. EET,55-64,Netflix;YouTube,4,4,2,2,5,Price was too high;Too much advertising,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 7:17:58 p.m. EET,65 years old or above,Netflix;YouTube,3,4,3,3,3,Too much advertising,"No, I haven't",Very satisfied,No,
2023/03/27 7:26:04 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube,5,4,3,4,4,Price was too high;Didn't use the service anymore,"Yes, I have",Very satisfied,No,"Lay out is a little messy sometimes, makes it more difficult to find movies/series. For example, Netflix has the horizontal lines to switch between. I/ we prefer 'tiles' that you find when choosing a specific topic, such as 'recently watched'"
2023/03/27 7:32:34 p.m. EET,65 years old or above,F1 TV,3,3,4,4,4,,"Yes, I have",Very satisfied,No,Non
2023/03/27 7:32:55 p.m. EET,45-54,Netflix;Disney+;Videoland,3,3,2,2,3,,"No, I haven't",Very satisfied,I'm not sure,Zo is het prima
2023/03/27 7:34:24 p.m. EET,45-54,Amazon Prime Video,1,1,1,1,1,,"No, I haven't",Very dissatisfied,No,
2023/03/27 7:40:04 p.m. EET,45-54,Viaplay,5,2,4,3,1,Technical issues or poor video quality;User interface was difficult to navigate;Too much advertising,"Yes, I have",Somewhat dissatisfied,No,
2023/03/27 7:41:16 p.m. EET,55-64,YouTube;Pathé Thuis ,5,3,3,5,5,Too much advertising,"Yes, I have",Very satisfied,Yes,"A subscription fee for individual films, series or tv Chanels"
2023/03/27 7:57:25 p.m. EET,45-54,Netflix;Videoland,4,2,2,2,3,Content selection was not what I expected;Too much advertising,"Yes, I have",Very satisfied,No,
2023/03/27 7:57:28 p.m. EET,55-64,Netflix;YouTube,5,4,5,5,4,Price was too high,"Yes, I have",Somewhat satisfied,I'm not sure,Koppelen via tablet of telefoon en zo kunnen zoeken in content. Vind het lastig zoeken als je elke letter via cursor van de afstandsbediening moet selecteren om je zoekvraag in te geven
2023/03/27 8:08:48 p.m. EET,45-54,Netflix;Videoland,4,2,2,3,4,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,I'm not sure,
2023/03/27 8:10:44 p.m. EET,45-54,Netflix,5,5,5,4,5,Price was too high,"No, I haven't",Very satisfied,No,Automatic pause to get a drink :-)
2023/03/27 8:13:50 p.m. EET,18-24,Netflix;YouTube,4,4,4,4,4,Content selection was not what I expected,"Yes, I have",Very satisfied,No,
2023/03/27 8:15:19 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+;HBO Max,5,4,5,3,3,Content selection was not what I expected;Too much advertising,"Yes, I have",Very satisfied,I'm not sure,
2023/03/27 8:17:30 p.m. EET,45-54,Netflix;Amazon Prime Video;YouTube;HBO Max,2,2,3,4,3,Content selection was not what I expected,"No, I haven't",Somewhat satisfied,Yes,
2023/03/27 8:18:36 p.m. EET,55-64,Netflix;YouTube,4,2,3,4,3,,"Yes, I have",Very satisfied,I'm not sure,
2023/03/27 8:20:35 p.m. EET,25-34,Netflix;Disney+;YouTube;HBO Max;Twitch,4,4,4,4,4,,"No, I haven't",Somewhat satisfied,No,
2023/03/27 8:20:50 p.m. EET,35-44,Netflix;Amazon Prime Video;Disney+,3,3,5,4,3,Technical issues or poor video quality,"No, I haven't",Very satisfied,No,Nvt
2023/03/27 8:23:08 p.m. EET,18-24,YouTube,5,5,3,3,1,Price was too high;Too much advertising,"No, I haven't",Very satisfied,No,
2023/03/27 8:31:22 p.m. EET,55-64,Netflix,1,2,2,3,1,,"No, I haven't",Very satisfied,No,
2023/03/27 8:31:55 p.m. EET,45-54,Netflix;Disney+;HBO Max,4,2,4,4,4,,"No, I haven't",Very satisfied,No,Better registration of the content allready watched
2023/03/27 8:33:11 p.m. EET,18-24,Netflix;Disney+;YouTube;HBO Max;Videoland,3,3,2,2,4,Content selection was not what I expected;Price was too high;Didn't use the service anymore,"Yes, I have",Very satisfied,I'm not sure,
2023/03/27 8:36:42 p.m. EET,45-54,Netflix;YouTube,4,4,4,3,4,,"No, I haven't",Very satisfied,No,
2023/03/27 8:37:14 p.m. EET,35-44,Netflix;YouTube;NPO Plus,4,4,4,4,4,,"No, I haven't",Very satisfied,No,
2023/03/27 8:42:26 p.m. EET,18-24,Netflix;HBO Max,3,4,1,1,1,Price was too high,"No, I haven't",Very satisfied,No,
2023/03/27 8:58:07 p.m. EET,45-54,Netflix;YouTube,1,5,3,3,3,Price was too high,"No, I haven't",Somewhat dissatisfied,Yes,
2023/03/27 9:07:40 p.m. EET,45-54,YouTube,1,1,3,3,2,Technical issues or poor video quality;Too much advertising,"No, I haven't",Very satisfied,No,
2023/03/27 9:10:39 p.m. EET,55-64,Netflix;YouTube;Viaplay ,5,5,5,5,1,Price was too high;User interface was difficult to navigate;Too much advertising,"Yes, I have",Somewhat satisfied,Yes,No
2023/03/27 9:18:51 p.m. EET,45-54,Netflix,5,5,5,5,5,Price was too high,"No, I haven't",Very satisfied,No,
2023/03/27 9:22:14 p.m. EET,25-34,Netflix;YouTube,4,5,4,2,5,Content selection was not what I expected;Price was too high;Too much advertising,"Yes, I have",Somewhat dissatisfied,No,No ads
2023/03/27 9:32:27 p.m. EET,45-54,YouTube,4,4,4,5,5,Too much advertising,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 9:48:48 p.m. EET,45-54,Netflix,2,2,2,2,2,,"No, I haven't",Very satisfied,I'm not sure,
2023/03/27 9:49:49 p.m. EET,35-44,YouTube,5,4,2,3,1,Price was too high,"No, I haven't",Somewhat satisfied,No,
2023/03/27 10:10:57 p.m. EET,45-54,Netflix;YouTube,4,4,1,3,2,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/27 10:17:50 p.m. EET,55-64,Netflix,5,2,1,4,3,,"No, I haven't",Very satisfied,No,
2023/03/27 10:36:45 p.m. EET,45-54,Netflix;HBO Max,5,4,3,3,3,,"No, I haven't",Very satisfied,No,"It would be nice to have audiodescription added to every movie/all series.  (For blind/visually impaired people)  currently this is added to some movies/series, not all.  This also depends in which country you are. HBO max for instance , has audiodescription added to movies in America. Exactly the same movie does not have audiodescription when watched in the Netherlands. "
2023/03/27 10:38:32 p.m. EET,45-54,Netflix;YouTube,5,3,1,3,4,,"No, I haven't",Very satisfied,No,A easy search system that is there to see what is available. 
2023/03/27 10:39:38 p.m. EET,45-54,Netflix;YouTube;F1 TV,5,3,5,2,4,Content selection was not what I expected,"Yes, I have",Very satisfied,No,Movies also to be seen in the movie theater. 
2023/03/27 11:03:28 p.m. EET,65 years old or above,YouTube,5,2,4,4,4,Too much advertising,"Yes, I have",Somewhat dissatisfied,I'm not sure,No advertising!
2023/03/27 11:11:04 p.m. EET,18-24,Netflix;Disney+;YouTube;Popcorn Time;F1 TV,5,4,2,1,2,Price was too high,"Yes, I have",Very satisfied,No,-
2023/03/27 11:25:14 p.m. EET,18-24,Netflix;YouTube,5,3,4,4,4,Content selection was not what I expected;Price was too high,"Yes, I have",Very satisfied,No,
2023/03/28 3:55:10 a.m. EET,25-34,Netflix;Disney+;HBO Max;Videoland; NPO Plus,5,3,2,3,5,Content selection was not what I expected,"Yes, I have",Very satisfied,I'm not sure,
2023/03/28 6:17:35 a.m. EET,18-24,Netflix;Amazon Prime Video;YouTube;Flixtor;Crunchyroll,5,5,3,2,3,Content selection was not what I expected;Price was too high,"Yes, I have",Somewhat satisfied,No,-
2023/03/28 8:36:31 a.m. EET,25-34,Netflix;Amazon Prime Video;Disney+;YouTube,5,5,5,5,4,Price was too high,"No, I haven't",Very satisfied,No,
2023/03/28 9:07:49 a.m. EET,18-24,Netflix;Disney+;YouTube,5,5,5,5,5,,"No, I haven't",Very satisfied,No,i don't know
2023/03/28 9:14:18 a.m. EET,55-64,Netflix;Disney+;YouTube,1,3,5,4,2,Didn't use the service anymore,"Yes, I have",Very satisfied,I'm not sure,
2023/03/28 9:17:41 a.m. EET,18-24,Netflix;YouTube;Videoland,5,4,3,2,3,,"No, I haven't",Somewhat satisfied,No,
2023/03/28 9:54:27 a.m. EET,18-24,YouTube;Twitch ,4,4,4,2,4,Price was too high;Too much advertising,"Yes, I have",Somewhat satisfied,Yes,Offline viewing
2023/03/28 1:19:12 p.m. EET,55-64,Netflix;Amazon Prime Video;Disney+;HBO Max,4,2,2,3,3,,"Yes, I have",Somewhat satisfied,No,
2023/03/28 1:36:12 p.m. EET,25-34,Netflix;YouTube,5,3,4,4,4,Content selection was not what I expected;Price was too high;Technical issues or poor video quality,"Yes, I have",Somewhat satisfied,I'm not sure,same model as spotify. All in 1. I would love to pay more but to have everythign in 1 place.
2023/03/28 1:56:18 p.m. EET,35-44,Netflix;Disney+,5,1,3,3,3,,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/28 1:59:44 p.m. EET,18-24,Netflix;YouTube;Videoland,4,5,4,3,4,Content selection was not what I expected,"No, I haven't",Very satisfied,I'm not sure,"dat je samen met anderen tegelijk kan kijken, maar op een ander apparaat. Zodat je samen vanuit een ander adres toch een filmavondje kan houden."
2023/03/28 1:59:51 p.m. EET,65 years old or above,Disney+,1,3,2,2,2,,"No, I haven't",Somewhat satisfied,No,Geen idee
2023/03/28 2:19:38 p.m. EET,25-34,Netflix;YouTube;Twitch,4,5,4,4,4,Content selection was not what I expected;Price was too high;Too much advertising,"No, I haven't",Somewhat dissatisfied,No,
2023/03/28 2:32:47 p.m. EET,35-44,Netflix;Disney+;YouTube,4,5,4,4,5,Content selection was not what I expected,"No, I haven't",Somewhat satisfied,No,
2023/03/28 2:54:06 p.m. EET,45-54,Netflix,5,4,5,4,4,Too much advertising,"Yes, I have",Very satisfied,No,
2023/03/28 3:21:37 p.m. EET,25-34,Netflix;Disney+;YouTube,4,3,2,3,2,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,No,
2023/03/28 3:30:54 p.m. EET,25-34,Netflix;YouTube,2,3,1,4,5,Technical issues or poor video quality,"No, I haven't",Somewhat satisfied,No,
2023/03/28 3:43:43 p.m. EET,45-54,Netflix;Disney+;YouTube,4,3,3,4,2,Content selection was not what I expected,"No, I haven't",Somewhat satisfied,Yes,?
2023/03/28 4:01:43 p.m. EET,45-54,Netflix,3,5,5,5,3,Too much advertising,"No, I haven't",Somewhat satisfied,Yes,The price of it
2023/03/28 4:09:52 p.m. EET,45-54,Netflix;Viaplay ,4,3,4,4,4,Technical issues or poor video quality,"No, I haven't",Somewhat satisfied,No,
2023/03/28 4:30:58 p.m. EET,18-24,Netflix;YouTube,5,4,5,5,5,,"No, I haven't",Very satisfied,I'm not sure,
2023/03/28 4:49:28 p.m. EET,45-54,Netflix,2,3,2,3,2,,"Yes, I have",Somewhat dissatisfied,Yes,
2023/03/28 4:51:49 p.m. EET,35-44,Netflix;Apple TV+; NPO Start,5,4,3,3,4,,"Yes, I have",Somewhat satisfied,I'm not sure,
2023/03/28 4:51:54 p.m. EET,25-34,Netflix;YouTube;Viaplay,4,2,4,3,4,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,I'm not sure,Een platform waar je alles op kan zien dan 100 verschillende waar je allemaal voor moet betalen
2023/03/28 5:04:44 p.m. EET,18-24,Netflix;Disney+;YouTube,4,5,3,2,2,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,No,
2023/03/28 5:05:37 p.m. EET,55-64,,3,3,3,3,2,Too much advertising,"No, I haven't",Very dissatisfied,No,Ik vind er nix aan
2023/03/28 5:05:54 p.m. EET,25-34,YouTube,4,1,3,4,3,Technical issues or poor video quality,"Yes, I have",Somewhat dissatisfied,I'm not sure,
2023/03/28 5:17:09 p.m. EET,25-34,Netflix;Amazon Prime Video;YouTube,4,5,4,5,5,Price was too high;User interface was difficult to navigate,"No, I haven't",Somewhat satisfied,Yes,Pay-per-view could go hand in hand with a video quality scale. 4k would be more expensive than 1440p or 1080p. 
2023/03/28 5:31:31 p.m. EET,25-34,Netflix;Amazon Prime Video;YouTube,3,3,4,2,4,Content selection was not what I expected;Price was too high;Technical issues or poor video quality;Too much advertising,"No, I haven't",Somewhat dissatisfied,No,
2023/03/28 5:44:18 p.m. EET,18-24,Netflix;Disney+;YouTube,3,4,3,2,4,,"Yes, I have",Somewhat satisfied,I'm not sure,
2023/03/28 5:48:18 p.m. EET,45-54,Netflix,1,3,4,4,4,Content selection was not what I expected,"Yes, I have",Very satisfied,I'm not sure,I don't know
2023/03/28 5:52:47 p.m. EET,55-64,Netflix;Amazon Prime Video;HBO Max,5,3,5,5,4,User interface was difficult to navigate,"Yes, I have",Very satisfied,Yes,Voice Demand 
2023/03/28 5:56:37 p.m. EET,35-44,Netflix;Disney+;HBO Max,4,2,4,3,3,Content selection was not what I expected;Technical issues or poor video quality,"Yes, I have",Very satisfied,No,"Vooral de inhoud vind ik belangrijk. Genre,  series en regelmatig updaten"
2023/03/28 6:03:23 p.m. EET,55-64,Netflix;YouTube;Videoland ,3,5,4,4,4,,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/28 6:08:38 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+,3,5,5,3,5,Price was too high;Technical issues or poor video quality,"No, I haven't",Somewhat satisfied,No,The option to see when a title gets removed from te service. Not via email or notification but directly below te title when selecting. 
2023/03/28 6:16:06 p.m. EET,55-64,Netflix;Disney+,4,4,4,4,4,Content selection was not what I expected,"Yes, I have",Very satisfied,Yes,
2023/03/28 6:51:03 p.m. EET,25-34,Netflix;Amazon Prime Video;Disney+;HBO Max,5,4,4,2,2,Content selection was not what I expected;Price was too high;Too much advertising,"Yes, I have",Very satisfied,Yes,"Random mode, e.g. netflix only shows content they think will suit your interests based on your past streaming behavior (creepy algorithm). However, it would be nice if there was a mode where they also show other content not based on your historic streaming behavior so you see things that are ‘out of the box’ for you and you can broaden your interests/mind. "
2023/03/28 7:03:01 p.m. EET,45-54,Netflix;Disney+,3,3,3,4,4,,"Yes, I have",Somewhat satisfied,Yes,
2023/03/28 7:05:45 p.m. EET,18-24,Netflix;Amazon Prime Video;YouTube;Twitch,4,2,3,3,4,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,No,#NAAM?
2023/03/28 7:06:11 p.m. EET,45-54,Videoland,4,4,4,4,4,Price was too high,"Yes, I have",Somewhat satisfied,Yes,
2023/03/28 7:07:50 p.m. EET,55-64,Netflix;Disney+;YouTube;HBO Max,2,3,3,3,3,,"Yes, I have",Somewhat satisfied,No,Should be cheaper
2023/03/28 7:09:32 p.m. EET,45-54,Netflix;YouTube,4,4,4,4,4,Content selection was not what I expected;User interface was difficult to navigate,"No, I haven't",Very satisfied,I'm not sure,
2023/03/28 7:13:32 p.m. EET,45-54,Netflix;Videoland;NPO Start,4,4,3,3,3,Price was too high,"No, I haven't",Very satisfied,No,
2023/03/28 7:21:45 p.m. EET,35-44,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max;SkyShowtime,4,4,3,3,3,Price was too high,"Yes, I have",Somewhat satisfied,No,More subtitles with english being standard regardless of region. Expats live and work in all countries. 
2023/03/28 7:24:58 p.m. EET,25-34,Netflix;Disney+;YouTube;NPO Start;Videoland;Apple TV+,4,5,5,4,5,,"Yes, I have",Very satisfied,No,
2023/03/28 7:25:56 p.m. EET,25-34,Netflix;Amazon Prime Video;YouTube;HBO Max,5,3,4,3,2,Content selection was not what I expected,"Yes, I have",Very satisfied,No,Auto skipping of intro’s
2023/03/28 7:31:16 p.m. EET,55-64,Netflix,3,3,3,3,3,Price was too high,"Yes, I have",Somewhat satisfied,Yes,
2023/03/28 8:13:51 p.m. EET,45-54,Netflix;YouTube,3,5,5,5,3,Too much advertising,"No, I haven't",Very satisfied,I'm not sure,Geen idee 
2023/03/28 8:56:43 p.m. EET,65 years old or above,Netflix,5,5,4,5,3,,"No, I haven't",Somewhat satisfied,No,I haven't the foggiest idea.
2023/03/28 9:05:34 p.m. EET,45-54,Netflix,3,2,2,2,2,,"No, I haven't",Very satisfied,No,
2023/03/28 9:13:46 p.m. EET,45-54,YouTube,5,4,5,5,5,Too much advertising,"No, I haven't",Somewhat satisfied,No,
2023/03/28 9:39:07 p.m. EET,25-34,Netflix;YouTube;HBO Max,4,4,4,4,3,Price was too high,"No, I haven't",Somewhat satisfied,No,3D option 
2023/03/28 10:52:51 p.m. EET,45-54,Netflix;Disney+;YouTube,4,4,4,3,4,Didn't use the service anymore,"Yes, I have",Very satisfied,Yes,None.
2023/03/28 11:51:11 p.m. EET,65 years old or above,Netflix;YouTube,5,5,4,4,5,,"No, I haven't",Very satisfied,No,
2023/03/28 11:56:50 p.m. EET,18-24,Netflix;YouTube,4,4,3,2,3,Price was too high,"No, I haven't",Somewhat satisfied,I'm not sure,More movies and series
2023/03/29 12:45:21 a.m. EET,18-24,Netflix;Amazon Prime Video;YouTube;HBO Max,5,4,4,3,4,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,No,Option to request certain movies/Shows
2023/03/29 7:30:55 a.m. EET,55-64,Netflix,2,1,3,3,3,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,I'm not sure,
2023/03/29 9:04:03 a.m. EET,25-34,Netflix;Disney+;YouTube,4,5,4,3,5,,"No, I haven't",Very satisfied,No,
2023/03/29 10:19:08 a.m. EET,25-34,Netflix;Amazon Prime Video;HBO Max,5,5,5,3,4,Technical issues or poor video quality;Too much advertising,"Yes, I have",Very satisfied,I'm not sure,"Not necessarily pay per view, but rather pay/subscribe per channel (such as Paramount, ABC a.o. US providers/channels)."
2023/03/29 10:42:12 a.m. EET,55-64,,1,1,2,1,3,,"No, I haven't",Very dissatisfied,No,
2023/03/29 10:46:09 a.m. EET,55-64,Netflix;HBO Max,3,4,3,1,4,Too much advertising,"No, I haven't",Very satisfied,No,
2023/03/29 5:51:18 p.m. EET,55-64,YouTube,3,4,4,3,3,Too much advertising,"No, I haven't",Somewhat satisfied,I'm not sure,
2023/03/29 6:09:55 p.m. EET,55-64,Videoland,3,3,3,3,3,,"Yes, I have",Very satisfied,No,Nothing specifiek 
2023/03/29 8:02:07 p.m. EET,45-54,,1,1,1,1,1,Price was too high,"No, I haven't",Very dissatisfied,Yes,
2023/03/29 9:41:54 p.m. EET,45-54,Netflix;Amazon Prime Video,4,2,4,3,1,Price was too high,"No, I haven't",Very satisfied,I'm not sure,
2023/03/29 9:46:42 p.m. EET,35-44,Netflix;YouTube;Viaplay ,4,3,4,3,2,,"Yes, I have",Very satisfied,I'm not sure,
2023/03/30 7:52:37 p.m. EET,25-34,Netflix;YouTube,4,4,4,3,3,,"No, I haven't",Somewhat satisfied,No,"A deeper algorithm for content recommendations. When I for example watch a war film. Next time I  login I get recommended other blockbuster war films. I want the algorithm to take into account the deeper storylines in such movies, maybe check which actors I like, which directors.
And I don't like that I need to have 5 different streaming services to be able to watch everything."
2023/03/31 8:22:31 a.m. EET,55-64,YouTube,4,1,4,5,4,Content selection was not what I expected,"No, I haven't",Very satisfied,I'm not sure,
2023/03/31 9:04:47 a.m. EET,18-24,Netflix;Disney+;YouTube;Nebula,5,3,4,2,1,,"Yes, I have",Somewhat satisfied,No,One application that gives on overview of all content on various streaming services. 
2023/03/31 11:44:14 a.m. EET,18-24,Netflix,5,4,3,2,1,Content selection was not what I expected;Price was too high;Technical issues or poor video quality,"Yes, I have",Somewhat satisfied,I'm not sure,
2023/03/31 12:10:35 p.m. EET,25-34,Netflix;Amazon Prime Video,1,5,4,3,1,Content selection was not what I expected;Price was too high,"Yes, I have",Somewhat satisfied,Yes,Content you can watch over the whole world should be available for everyone
2023/03/31 2:29:00 p.m. EET,18-24,Netflix;YouTube;HBO Max,5,4,5,3,5,,"Yes, I have",Very satisfied,Yes,More download space
